time,date,open,high,low,close,volume,trade_count
00:00:00+00:00,2021-02-08,446.04,489.31,435.92,485.02,3570.20608,5160.0
00:00:00+00:00,2021-02-09,485.63,520.0,474.56,515.9,5240.59795,7436.0
00:00:00+00:00,2021-02-10,516.19,539.22,465.93,495.01,4294.11411,6784.0
00:00:00+00:00,2021-02-11,496.17,543.02,491.57,531.21,2566.64934,6088.0
00:00:00+00:00,2021-02-12,530.76,581.29,510.59,577.4,3205.25812,7371.0
00:00:00+00:00,2021-02-13,576.18,674.16,542.18,666.17,9040.71386,13000.0
00:00:00+00:00,2021-02-14,669.3,750.4,653.78,720.74,13675.99898,19403.0
00:00:00+00:00,2021-02-15,720.74,772.98,601.01,716.81,9207.23089,14535.0
00:00:00+00:00,2021-02-16,716.65,744.11,669.91,705.79,5913.79957,9327.0
00:00:00+00:00,2021-02-17,709.96,727.0,674.93,717.62,3030.7682,6365.0
00:00:00+00:00,2021-02-18,716.19,730.0,690.0,706.23,3240.82747,3964.0
00:00:00+00:00,2021-02-19,705.23,743.83,681.43,720.41,2961.05701,3998.0
00:00:00+00:00,2021-02-20,719.85,748.29,630.0,682.24,4058.47716,7359.0
00:00:00+00:00,2021-02-21,678.14,736.22,666.79,708.32,2318.89191,4888.0
00:00:00+00:00,2021-02-22,706.62,709.22,533.0,628.66,4039.88775,8213.0
00:00:00+00:00,2021-02-23,630.71,635.26,420.0,517.19,5344.40823,11284.0
00:00:00+00:00,2021-02-24,516.04,555.84,496.59,526.5,3537.06677,6685.0
00:00:00+00:00,2021-02-25,527.43,556.97,494.04,498.71,2101.7042,4128.0
00:00:00+00:00,2021-02-26,498.48,508.21,456.72,483.68,2885.74447,4835.0
00:00:00+00:00,2021-02-27,486.59,501.58,473.71,484.1,1073.18501,2218.0
00:00:00+00:00,2021-02-28,481.71,485.44,432.4,460.49,1843.76035,3207.0
00:00:00+00:00,2021-03-01,461.19,507.0,458.48,501.81,1987.91743,3996.0
00:00:00+00:00,2021-03-02,501.26,549.98,494.8,517.43,3875.90681,9642.0
00:00:00+00:00,2021-03-03,517.43,555.64,511.36,521.92,4150.67954,7171.0
00:00:00+00:00,2021-03-04,521.0,538.57,492.16,505.77,2674.31281,4095.0
