time,date,open,high,low,close,volume,trade_count
00:00:00+00:00,2022-07-15,6.3,6.45,6.13,6.33,7951.28,361.0
00:00:00+00:00,2022-07-16,6.29,6.61,6.15,6.61,34974.58,660.0
00:00:00+00:00,2022-07-17,6.61,6.72,6.33,6.33,19780.19,512.0
00:00:00+00:00,2022-07-18,6.33,7.15,6.33,7.08,39702.34,907.0
00:00:00+00:00,2022-07-19,7.05,7.36,6.74,7.26,28506.92,686.0
00:00:00+00:00,2022-07-20,7.19,7.58,6.83,6.86,31254.97,648.0
00:00:00+00:00,2022-07-21,6.88,7.06,6.66,6.97,7538.94,259.0
00:00:00+00:00,2022-07-22,6.97,7.29,6.75,6.77,5335.14,322.0
00:00:00+00:00,2022-07-23,6.76,7.01,6.62,6.85,2477.63,152.0
00:00:00+00:00,2022-07-24,6.92,7.24,6.86,7.11,9802.83,297.0
00:00:00+00:00,2022-07-25,7.07,7.07,6.42,6.43,86894.1,1282.0
00:00:00+00:00,2022-07-26,6.4,6.43,6.1,6.35,4621.47,185.0
00:00:00+00:00,2022-07-27,6.35,6.87,6.2,6.85,10868.49,324.0
00:00:00+00:00,2022-07-28,6.87,7.3,6.69,7.23,20657.17,549.0
00:00:00+00:00,2022-07-29,7.23,8.17,7.12,7.9,64264.92,1202.0
00:00:00+00:00,2022-07-30,7.88,8.24,7.68,7.8,39591.97,632.0
00:00:00+00:00,2022-07-31,7.83,8.09,7.58,7.65,13789.34,534.0
00:00:00+00:00,2022-08-01,7.66,7.88,7.42,7.54,17997.45,607.0
00:00:00+00:00,2022-08-02,7.59,7.66,7.04,7.18,8500.85,711.0
00:00:00+00:00,2022-08-03,7.17,7.63,7.07,7.24,5876.62,202.0
00:00:00+00:00,2022-08-04,7.27,7.54,7.19,7.35,4123.64,156.0
00:00:00+00:00,2022-08-05,7.37,7.89,7.36,7.86,5550.27,265.0
00:00:00+00:00,2022-08-06,7.88,8.09,7.76,7.78,7860.12,317.0
00:00:00+00:00,2022-08-07,7.81,8.35,7.66,8.35,11959.54,329.0
00:00:00+00:00,2022-08-08,8.33,8.78,8.22,8.62,24041.92,692.0
00:00:00+00:00,2022-08-09,8.6,8.94,8.28,8.75,62533.01,1279.0
00:00:00+00:00,2022-08-10,8.73,9.31,8.29,9.06,95315.53,1529.0
00:00:00+00:00,2022-08-11,9.07,9.22,8.84,8.94,24633.27,553.0
00:00:00+00:00,2022-08-12,8.98,9.49,8.81,9.35,51997.75,1077.0
00:00:00+00:00,2022-08-13,9.34,9.48,9.05,9.12,8542.09,333.0
00:00:00+00:00,2022-08-14,9.13,9.36,8.68,8.76,26025.97,618.0
00:00:00+00:00,2022-08-15,8.76,9.05,8.5,8.65,11653.39,503.0
00:00:00+00:00,2022-08-16,8.66,8.81,8.38,8.47,6633.63,277.0
00:00:00+00:00,2022-08-17,8.5,8.74,8.0,8.07,7882.22,405.0
00:00:00+00:00,2022-08-18,8.06,8.23,7.62,7.68,5465.1,320.0
00:00:00+00:00,2022-08-19,7.66,7.68,6.83,6.91,15465.49,591.0
00:00:00+00:00,2022-08-20,6.93,7.2,6.68,6.89,14457.97,451.0
00:00:00+00:00,2022-08-21,6.93,7.16,6.89,7.08,2800.01,280.0
00:00:00+00:00,2022-08-22,7.09,7.09,6.7,7.04,4063.28,352.0
00:00:00+00:00,2022-08-23,7.03,7.34,6.78,7.25,8556.62,496.0
00:00:00+00:00,2022-08-24,7.22,7.36,7.03,7.11,6374.16,275.0
00:00:00+00:00,2022-08-25,7.15,7.36,7.02,7.14,4578.31,322.0
00:00:00+00:00,2022-08-26,7.12,7.17,6.41,6.5,13990.67,655.0
00:00:00+00:00,2022-08-27,6.51,6.61,6.42,6.56,4995.52,275.0
00:00:00+00:00,2022-08-28,6.52,6.62,6.24,6.25,5327.47,227.0
00:00:00+00:00,2022-08-29,6.23,6.72,6.18,6.72,5099.06,283.0
00:00:00+00:00,2022-08-30,6.7,6.82,6.38,6.53,5154.04,369.0
00:00:00+00:00,2022-08-31,6.57,6.89,6.55,6.61,6222.88,357.0
00:00:00+00:00,2022-09-01,6.64,6.94,6.46,6.91,7005.25,496.0
00:00:00+00:00,2022-09-02,6.93,7.23,6.8,6.9,6587.9,432.0
00:00:00+00:00,2022-09-03,6.9,6.96,6.73,6.84,3050.67,175.0
00:00:00+00:00,2022-09-04,6.86,7.26,6.8,7.16,20771.27,451.0
00:00:00+00:00,2022-09-05,7.16,7.41,7.09,7.37,8945.3,420.0
00:00:00+00:00,2022-09-06,7.41,7.54,6.59,6.67,14106.26,510.0
00:00:00+00:00,2022-09-07,6.65,7.15,6.57,7.09,18310.47,476.0
00:00:00+00:00,2022-09-08,7.1,7.5,7.02,7.39,11136.89,524.0
00:00:00+00:00,2022-09-09,7.42,8.1,7.4,7.76,40835.85,1020.0
00:00:00+00:00,2022-09-10,7.74,8.02,7.62,7.9,14239.5,439.0
00:00:00+00:00,2022-09-11,7.95,8.16,7.74,8.03,13010.31,499.0
00:00:00+00:00,2022-09-12,8.0,8.29,7.62,7.74,29067.05,695.0
00:00:00+00:00,2022-09-13,7.76,7.93,7.03,7.05,16801.95,536.0
00:00:00+00:00,2022-09-14,7.02,7.54,6.99,7.47,18857.67,710.0
00:00:00+00:00,2022-09-15,7.43,7.58,7.03,7.57,18177.62,728.0
00:00:00+00:00,2022-09-16,7.55,7.79,7.43,7.66,21473.71,737.0
00:00:00+00:00,2022-09-17,7.66,8.14,7.66,8.11,21461.11,621.0
00:00:00+00:00,2022-09-18,8.1,8.13,7.41,7.52,9845.42,420.0
00:00:00+00:00,2022-09-19,7.54,7.68,7.02,7.32,11675.27,435.0
00:00:00+00:00,2022-09-20,7.29,7.32,6.82,6.88,8830.56,361.0
00:00:00+00:00,2022-09-21,6.88,7.31,6.53,6.72,17156.31,824.0
00:00:00+00:00,2022-09-22,6.68,7.17,6.65,7.13,9056.27,355.0
00:00:00+00:00,2022-09-23,7.1,7.49,6.97,7.46,13795.05,484.0
