time,date,open,high,low,close,volume,trade_count
00:00:00+00:00,2023-08-18,6.22958,6.24032225,6.071822555,6.1860453,0.0,0.0
00:00:00+00:00,2023-08-19,6.17108607,6.25997165,6.113596475,6.191505,0.0,0.0
00:00:00+00:00,2023-08-20,6.19327,6.242045,6.11571,6.23225,0.0,0.0
00:00:00+00:00,2023-08-21,6.22095,6.263055,6.01185,6.171775,0.0,0.0
00:00:00+00:00,2023-08-22,6.17615,6.25355,5.87128,6.10635,0.0,0.0
00:00:00+00:00,2023-08-23,6.11174,6.4297,6.097865,6.34533,0.0,0.0
00:00:00+00:00,2023-08-24,6.34833,6.36656,5.98213,6.0805,0.0,0.0
00:00:00+00:00,2023-08-25,6.07993,6.08813,5.90964,6.01955,0.0,0.0
00:00:00+00:00,2023-08-26,6.00959,6.046765,5.9523,6.0109,0.0,0.0
00:00:00+00:00,2023-08-27,6.00175,6.04831,5.95085,6.013,0.0,0.0
00:00:00+00:00,2023-08-28,6.02475,6.046395,5.8485,5.992,0.0,0.0
00:00:00+00:00,2023-08-29,5.980725,6.31432,5.84005,6.195555,0.0,0.0
00:00:00+00:00,2023-08-30,6.1954,6.1976,5.884,5.92768,0.0,0.0
00:00:00+00:00,2023-08-31,5.92456,6.06035,5.7302,5.873095,0.0,0.0
00:00:00+00:00,2023-09-01,5.873395,6.037705,5.81385,5.9375,0.0,0.0
00:00:00+00:00,2023-09-02,5.933755,5.997,5.889095,5.97019,0.0,0.0
00:00:00+00:00,2023-09-03,5.971965,6.061205,5.93805,6.02435,0.0,0.0
00:00:00+00:00,2023-09-04,6.03012,6.16075,5.942405,6.0116,0.0,0.0
00:00:00+00:00,2023-09-05,6.0149,6.151,5.90706,6.13523,0.0,0.0
00:00:00+00:00,2023-09-06,6.137295,6.34015,6.09415,6.29966,0.0,0.0
00:00:00+00:00,2023-09-07,6.29565,6.464,6.19805,6.38706,0.0,0.0
00:00:00+00:00,2023-09-08,6.381885,6.39925,6.1439,6.276115,0.0,0.0
00:00:00+00:00,2023-09-09,6.276,6.2873,6.15435,6.16308,0.0,0.0
00:00:00+00:00,2023-09-10,6.1608,6.1608,5.948565,6.01269,0.0,0.0
00:00:00+00:00,2023-09-11,6.01241,6.03265,5.73705,5.82625,0.0,0.0
00:00:00+00:00,2023-09-12,5.82699,6.072515,5.8078,5.954275,0.0,0.0
00:00:00+00:00,2023-09-13,5.959195,6.088155,5.926305,6.0202,0.0,0.0
00:00:00+00:00,2023-09-14,6.022365,6.21417,6.00575,6.15465,0.0,0.0
00:00:00+00:00,2023-09-15,6.15583,6.3754,6.100715,6.369655,0.0,0.0
00:00:00+00:00,2023-09-16,6.3692,6.42015,6.18919,6.279195,0.0,0.0
00:00:00+00:00,2023-09-17,6.27935,6.282345,6.0576,6.15,0.0,0.0
00:00:00+00:00,2023-09-18,6.1466,6.83854,6.1022,6.56495,0.0,0.0
00:00:00+00:00,2023-09-19,6.565665,6.969335,6.52131,6.842395,0.0,0.0
00:00:00+00:00,2023-09-20,6.847985,7.0425,6.7432,6.9029,0.0,0.0
00:00:00+00:00,2023-09-21,6.906365,6.945225,6.60399,6.66291,0.0,0.0
00:00:00+00:00,2023-09-22,6.661155,6.97149,6.59625,6.955455,0.0,0.0
00:00:00+00:00,2023-09-23,6.95895,7.22405,6.91705,7.18943,0.0,0.0
00:00:00+00:00,2023-09-24,7.1865,7.24567,6.952065,6.9755,0.0,0.0
00:00:00+00:00,2023-09-25,6.97105,7.50753,6.911495,7.492895,0.0,0.0
00:00:00+00:00,2023-09-26,7.49482,7.56965,7.246,7.35125,0.0,0.0
00:00:00+00:00,2023-09-27,7.35355,7.88355,7.267665,7.6415,0.0,0.0
00:00:00+00:00,2023-09-28,7.6416,8.04977,7.56776,7.8125,0.0,0.0
00:00:00+00:00,2023-09-29,7.80751,8.0769,7.676385,7.9465,0.0,0.0
00:00:00+00:00,2023-09-30,7.947155,8.26805,7.94126,8.18505,0.0,0.0
00:00:00+00:00,2023-10-01,8.1912,8.253,7.780825,8.04602,0.0,0.0
00:00:00+00:00,2023-10-02,8.05318,8.0979,7.354555,7.46687,0.0,0.0
00:00:00+00:00,2023-10-03,7.4708,7.7409,7.3664,7.411845,0.0,0.0
00:00:00+00:00,2023-10-04,7.40779,7.78073,7.19545,7.674445,0.0,0.0
00:00:00+00:00,2023-10-05,7.67,7.793245,7.45493,7.4653,0.0,0.0
00:00:00+00:00,2023-10-06,7.46584,7.759375,7.43325,7.64723,0.0,0.0
00:00:00+00:00,2023-10-07,7.64965,7.684845,7.476955,7.52918,0.0,0.0
00:00:00+00:00,2023-10-08,7.5299,7.949385,7.50614,7.68103,0.0,0.0
00:00:00+00:00,2023-10-09,7.67625,7.7015,7.14555,7.27765,0.0,0.0
00:00:00+00:00,2023-10-10,7.277745,7.39327,7.17515,7.2603,0.0,0.0
00:00:00+00:00,2023-10-11,7.258475,7.426,7.1187,7.39415,0.0,0.0
00:00:00+00:00,2023-10-12,7.38815,7.4127,7.114,7.197,0.0,0.0
00:00:00+00:00,2023-10-13,7.19345,7.39975,7.10984,7.25581,0.0,0.0
00:00:00+00:00,2023-10-14,7.25805,7.370605,7.216775,7.32735,0.0,0.0
00:00:00+00:00,2023-10-15,7.326735,7.566,7.286245,7.4203,0.0,0.0
00:00:00+00:00,2023-10-16,7.42177,7.826365,7.409475,7.529665,0.0,0.0
00:00:00+00:00,2023-10-17,7.529335,7.562385,7.26745,7.32275,0.0,0.0
00:00:00+00:00,2023-10-18,7.3196,7.4833,7.283,7.35874,0.0,0.0
00:00:00+00:00,2023-10-19,7.35882,7.436775,7.220355,7.3042,0.0,0.0
00:00:00+00:00,2023-10-20,7.30382,7.71266,7.26546,7.5745,0.0,0.0
00:00:00+00:00,2023-10-21,7.579535,9.162365,7.524465,8.91497,0.0,0.0
00:00:00+00:00,2023-10-22,8.920415,10.2395,8.845,10.19805,0.0,0.0
00:00:00+00:00,2023-10-23,10.1875,11.055,9.793095,10.58775,0.0,0.0
00:00:00+00:00,2023-10-24,10.58215,11.1575,9.6729,10.374,0.0,0.0
00:00:00+00:00,2023-10-25,10.37705,11.78015,10.3425,11.05485,0.0,0.0
00:00:00+00:00,2023-10-26,11.0652,11.3955,10.3825,10.927,0.0,0.0
00:00:00+00:00,2023-10-27,10.935,11.4358,10.61605,11.1801,0.0,0.0
00:00:00+00:00,2023-10-28,11.18,11.6565,10.82525,10.93375,0.0,0.0
