time,date,open,high,low,close,volume,trade_count
00:00:00+00:00,2021-11-18,102.65,106.57,92.06,100.73,32812.5,4736.0
00:00:00+00:00,2021-11-19,101.74,112.44,95.95,112.44,43352.29,5212.0
00:00:00+00:00,2021-11-20,112.0,173.0,111.6,125.98,91631.38,10441.0
00:00:00+00:00,2021-11-21,125.98,152.1,92.0,129.4,171928.24,16092.0
00:00:00+00:00,2021-11-22,129.4,146.75,126.14,134.99,137350.64,14967.0
00:00:00+00:00,2021-11-23,134.96,138.76,121.67,123.57,101115.67,12592.0
00:00:00+00:00,2021-11-24,123.72,125.32,112.5,115.34,115856.76,9168.0
00:00:00+00:00,2021-11-25,115.18,130.0,114.0,119.2,99031.54,9715.0
00:00:00+00:00,2021-11-26,119.53,119.88,101.42,104.49,98864.19,11279.0
00:00:00+00:00,2021-11-27,104.48,118.54,103.37,113.74,60117.9,7665.0
00:00:00+00:00,2021-11-28,113.73,114.11,100.75,110.67,67211.86,7317.0
00:00:00+00:00,2021-11-29,110.68,120.58,109.15,120.58,49183.46,6707.0
00:00:00+00:00,2021-11-30,120.58,125.88,114.17,120.73,77717.35,12223.0
00:00:00+00:00,2021-12-01,120.62,127.45,117.51,119.83,58265.26,10484.0
00:00:00+00:00,2021-12-02,119.57,119.57,107.0,108.0,61955.31,6615.0
00:00:00+00:00,2021-12-03,108.01,120.0,101.43,112.37,67798.97,15508.0
00:00:00+00:00,2021-12-04,112.14,118.5,95.0,104.7,50659.0,39978.0
00:00:00+00:00,2021-12-05,104.71,108.01,90.0,99.0,19575.6,16421.0
00:00:00+00:00,2021-12-06,99.0,99.0,77.1,93.4,105146.64,15647.0
00:00:00+00:00,2021-12-07,93.0,96.77,88.06,89.75,78884.1,7422.0
00:00:00+00:00,2021-12-08,89.52,93.3,86.47,93.28,39060.48,5242.0
00:00:00+00:00,2021-12-09,93.28,94.85,83.35,85.42,51789.12,6275.0
00:00:00+00:00,2021-12-10,85.65,91.79,80.42,80.68,79373.92,7458.0
00:00:00+00:00,2021-12-11,80.53,87.12,78.61,86.39,70257.02,4876.0
00:00:00+00:00,2021-12-12,86.56,89.0,83.02,88.09,39124.8,3433.0
00:00:00+00:00,2021-12-13,88.11,90.0,75.62,79.11,91484.29,8255.0
00:00:00+00:00,2021-12-14,78.96,87.55,76.43,87.24,70006.73,6663.0
00:00:00+00:00,2021-12-15,87.17,105.73,86.11,101.31,164966.45,19580.0
00:00:00+00:00,2021-12-16,101.37,110.07,98.05,98.35,120135.69,15428.0
00:00:00+00:00,2021-12-17,98.18,116.38,98.18,111.09,144643.07,19595.0
00:00:00+00:00,2021-12-18,110.85,117.55,105.54,116.14,72989.75,9603.0
00:00:00+00:00,2021-12-19,116.08,116.67,106.81,107.82,57995.6,5661.0
00:00:00+00:00,2021-12-20,107.36,116.42,101.0,113.05,122576.27,13166.0
00:00:00+00:00,2021-12-21,113.51,124.0,110.72,123.39,99408.0,12761.0
00:00:00+00:00,2021-12-22,123.23,127.4,115.66,116.77,64633.44,8840.0
00:00:00+00:00,2021-12-23,116.59,125.05,116.24,121.46,61937.24,8440.0
00:00:00+00:00,2021-12-24,121.37,124.64,113.46,115.0,58123.42,8238.0
00:00:00+00:00,2021-12-25,115.0,116.91,112.52,115.17,38233.54,5507.0
00:00:00+00:00,2021-12-26,115.15,118.01,109.43,115.13,60388.38,6483.0
00:00:00+00:00,2021-12-27,115.22,121.0,113.3,113.87,49160.26,6715.0
00:00:00+00:00,2021-12-28,113.95,116.66,104.41,107.06,65482.99,11168.0
00:00:00+00:00,2021-12-29,107.11,110.58,102.43,102.94,49006.06,6956.0
00:00:00+00:00,2021-12-30,103.18,105.5,98.01,101.92,51770.77,6007.0
00:00:00+00:00,2021-12-31,101.6,112.0,100.34,109.54,67217.61,8747.0
00:00:00+00:00,2022-01-01,109.61,114.59,108.5,114.1,35850.06,4894.0
00:00:00+00:00,2022-01-02,114.14,117.61,112.0,113.05,31706.37,5005.0
00:00:00+00:00,2022-01-03,113.05,114.01,106.04,108.16,42330.15,5921.0
00:00:00+00:00,2022-01-04,108.19,109.29,102.91,103.26,76099.78,5546.0
00:00:00+00:00,2022-01-05,103.29,106.61,90.55,97.41,88250.17,10515.0
00:00:00+00:00,2022-01-06,97.4,98.12,90.97,95.12,82382.61,8049.0
00:00:00+00:00,2022-01-07,95.08,95.37,85.04,86.66,101188.35,10267.0
00:00:00+00:00,2022-01-08,86.76,89.59,79.24,83.74,88857.67,8145.0
00:00:00+00:00,2022-01-09,83.86,91.92,82.47,89.42,73753.8,6974.0
00:00:00+00:00,2022-01-10,89.42,90.97,80.34,84.64,107216.17,9888.0
00:00:00+00:00,2022-01-11,84.4,91.0,83.27,89.55,59640.44,5627.0
00:00:00+00:00,2022-01-12,89.6,97.0,88.8,96.02,79856.34,6798.0
00:00:00+00:00,2022-01-13,95.92,97.28,89.17,89.7,73586.09,7122.0
00:00:00+00:00,2022-01-14,89.79,94.63,87.16,90.43,42308.6,6133.0
00:00:00+00:00,2022-01-15,90.48,94.5,89.53,93.0,41015.98,4162.0
00:00:00+00:00,2022-01-16,93.13,95.01,91.83,92.33,50425.65,4587.0
00:00:00+00:00,2022-01-17,92.36,92.63,85.38,86.77,38943.9,5055.0
00:00:00+00:00,2022-01-18,86.62,87.5,83.74,86.14,33805.38,3782.0
00:00:00+00:00,2022-01-19,86.12,86.43,81.13,82.61,38426.04,4415.0
00:00:00+00:00,2022-01-20,82.71,87.81,78.71,79.37,46226.45,5020.0
00:00:00+00:00,2022-01-21,79.31,80.37,64.0,66.17,91456.07,11192.0
00:00:00+00:00,2022-01-22,66.03,67.51,53.0,59.92,113384.72,11750.0
00:00:00+00:00,2022-01-23,59.78,66.83,59.02,64.88,89933.58,8522.0
00:00:00+00:00,2022-01-24,64.88,64.88,53.5,63.08,118302.09,9902.0
00:00:00+00:00,2022-01-25,63.06,70.58,61.68,68.07,75960.16,7865.0
00:00:00+00:00,2022-01-26,68.11,73.61,64.39,66.07,87298.57,10397.0
00:00:00+00:00,2022-01-27,65.75,67.99,61.2,64.72,52667.13,6538.0
00:00:00+00:00,2022-01-28,64.77,67.49,61.79,67.05,43684.48,5526.0
00:00:00+00:00,2022-01-29,67.13,73.67,66.9,71.85,64306.25,7583.0
00:00:00+00:00,2022-01-30,71.89,72.4,66.94,68.03,38092.04,4957.0
00:00:00+00:00,2022-01-31,67.96,70.71,64.3,70.02,52070.32,6877.0
00:00:00+00:00,2022-02-01,69.84,73.88,68.54,73.42,71315.47,8354.0
00:00:00+00:00,2022-02-02,73.41,74.97,67.48,67.98,65370.85,8138.0
00:00:00+00:00,2022-02-03,67.77,69.22,65.03,68.49,39286.53,5595.0
